GOID	Ontology	Definition	Level
GO:0060107	CC	annuli extracellular matrix	5
GO:0060108	CC	annular furrow extracellular matrix	5
GO:0060109	CC	medial layer of collagen and cuticulin-based cuticle extracellular matrix	5
GO:0060110	CC	basal layer of collagen and cuticulin-based cuticle extracellular matrix	5
GO:0060111	CC	alae of collagen and cuticulin-based cuticle extracellular matrix	5
GO:0060112	BP	generation of ovulation cycle rhythm	4
GO:0060113	BP	inner ear receptor cell differentiation	5
GO:0060114	BP	vestibular receptor cell differentiation	6
GO:0060115	BP	vestibular receptor cell fate commitment	7
GO:0060116	BP	vestibular receptor cell morphogenesis	5
GO:0060117	BP	auditory receptor cell development	7
GO:0060118	BP	vestibular receptor cell development	7
GO:0060119	BP	inner ear receptor cell development	6
GO:0060120	BP	inner ear receptor cell fate commitment	6
GO:0060121	BP	vestibular receptor cell stereocilium organization	6
GO:0060122	BP	inner ear receptor stereocilium organization	6
GO:0060123	BP	regulation of growth hormone secretion	6
GO:0060124	BP	positive regulation of growth hormone secretion	6
GO:0060125	BP	negative regulation of growth hormone secretion	6
GO:0060126	BP	somatotropin secreting cell differentiation	5
GO:0060127	BP	prolactin secreting cell differentiation	5
GO:0060128	BP	corticotropin hormone secreting cell differentiation	5
GO:0060129	BP	thyroid-stimulating hormone-secreting cell differentiation	5
GO:0060130	BP	thyroid-stimulating hormone-secreting cell development	5
GO:0060131	BP	corticotropin hormone secreting cell development	5
GO:0060132	BP	prolactin secreting cell development	5
GO:0060133	BP	somatotropin secreting cell development	5
GO:0060134	BP	prepulse inhibition	5
GO:0060135	BP	maternal process involved in female pregnancy	4
GO:0060136	BP	embryonic process involved in female pregnancy	4
GO:0060137	BP	maternal process involved in parturition	4
GO:0060138	BP	fetal process involved in parturition	4
GO:0060139	BP	positive regulation of apoptosis by virus	5
GO:0060140	BP	syncytium formation by plasma membrane fusion of virally targeted cells	4
GO:0060141	BP	positive regulation of syncytium formation by virus	5
GO:0060142	BP	regulation of syncytium formation by plasma membrane fusion	4
GO:0060143	BP	positive regulation of syncytium formation by plasma membrane fusion	4
GO:0060144	BP	host cellular processes involved in virus induced gene silencing	3
GO:0060145	BP	viral gene silencing in virus induced gene silencing	5
GO:0060146	BP	host gene silencing in virus induced gene silencing	5
GO:0060147	BP	regulation of posttranscriptional gene silencing	5
GO:0060148	BP	positive regulation of posttranscriptional gene silencing	4
GO:0060149	BP	negative regulation of posttranscriptional gene silencing	5
GO:0060150	BP	viral triggering of virus induced gene silencing	5
GO:0060151	BP	peroxisome localization	5
GO:0060152	BP	microtubule-based peroxisome localization	4
GO:0060153	BP	modulation by virus of host cell cycle	6
GO:0060154	BP	cellular process regulating host cell cycle in response to virus	5
GO:0060155	BP	platelet dense granule organization	8
GO:0060156	BP	milk ejection	5
GO:0060157	BP	urinary bladder development	5
GO:0060158	BP	activation of phospholipase C activity by dopamine receptor signaling pathway	7
GO:0060159	BP	regulation of dopamine receptor signaling pathway	6
GO:0060160	BP	negative regulation of dopamine receptor signaling pathway	6
GO:0060161	BP	positive regulation of dopamine receptor signaling pathway	6
GO:0060162	BP	negative regulation of phospholipase C-activating dopamine receptor signaling pathway	7
GO:0060163	BP	subpallium neuron fate commitment	5
GO:0060164	BP	regulation of timing of neuron differentiation	6
GO:0060165	BP	regulation of timing of subpallium neuron differentiation	5
GO:0060166	BP	olfactory pit development	4
GO:0060167	BP	regulation of adenosine receptor signaling pathway	6
GO:0060168	BP	positive regulation of adenosine receptor signaling pathway	6
GO:0060169	BP	negative regulation of adenosine receptor signaling pathway	6
GO:0060170	CC	cilium membrane	5
GO:0060171	CC	stereocilium membrane	3
GO:0060172	BP	astral microtubule depolymerization	7
GO:0060173	BP	limb development	5
GO:0060174	BP	limb bud formation	4
GO:0060175	MF	brain-derived neurotrophic factor-activated receptor activity	5
GO:0060176	BP	regulation of aggregation involved in sorocarp development	5
GO:0060177	BP	regulation of angiotensin metabolic process	6
GO:0060178	BP	regulation of exocyst localization	5
GO:0060179	BP	male mating behavior	5
GO:0060180	BP	female mating behavior	5
GO:0060182	MF	apelin receptor activity	6
GO:0060183	BP	apelin receptor signaling pathway	6
GO:0060184	BP	cell cycle switching	4
GO:0060185	BP	outer ear unfolding	4
GO:0060186	BP	outer ear emergence	5
GO:0060187	CC	cell pole	3
GO:0060188	BP	regulation of protein desumoylation	7
GO:0060189	BP	positive regulation of protein desumoylation	7
GO:0060190	BP	negative regulation of protein desumoylation	7
GO:0060191	BP	regulation of lipase activity	6
GO:0060192	BP	negative regulation of lipase activity	7
GO:0060193	BP	positive regulation of lipase activity	7
GO:0060194	BP	regulation of antisense RNA transcription	7
GO:0060195	BP	negative regulation of antisense RNA transcription	7
GO:0060196	BP	positive regulation of antisense RNA transcription	7
GO:0060197	BP	cloacal septation	5
GO:0060198	CC	clathrin sculpted vesicle	8
GO:0060199	CC	clathrin sculpted glutamate transport vesicle	7
GO:0060200	CC	clathrin sculpted acetylcholine transport vesicle	7
GO:0060201	CC	clathrin sculpted acetylcholine transport vesicle membrane	7
GO:0060202	CC	clathrin sculpted acetylcholine transport vesicle lumen	6
GO:0060203	CC	clathrin sculpted glutamate transport vesicle membrane	7
GO:0060204	CC	clathrin sculpted glutamate transport vesicle lumen	6
GO:0060205	CC	cytoplasmic membrane-bounded vesicle lumen	5
GO:0060206	BP	estrous cycle phase	4
GO:0060207	BP	diestrus	5
GO:0060208	BP	proestrus	5
GO:0060209	BP	estrus	5
GO:0060210	BP	metestrus	5
GO:0060211	BP	regulation of nuclear-transcribed mRNA poly(A) tail shortening	7
GO:0060212	BP	negative regulation of nuclear-transcribed mRNA poly(A) tail shortening	6
GO:0060213	BP	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	7
GO:0060214	BP	endocardium formation	4
GO:0060215	BP	primitive hemopoiesis	6
GO:0060216	BP	definitive hemopoiesis	6
GO:0060217	BP	hemangioblast cell differentiation	5
GO:0060218	BP	hemopoietic stem cell differentiation	6
GO:0060219	BP	camera-type eye photoreceptor cell differentiation	5
GO:0060220	BP	camera-type eye photoreceptor cell fate commitment	6
GO:0060221	BP	retinal rod cell differentiation	6
GO:0060222	BP	regulation of retinal cone cell fate commitment	6
GO:0060223	BP	retinal rod cell fate commitment	7
GO:0060224	BP	regulation of retinal rod cell fate commitment	6
GO:0060225	BP	positive regulation of retinal rod cell fate commitment	5
GO:0060226	BP	negative regulation of retinal cone cell fate commitment	5
GO:0060227	BP	Notch signaling pathway involved in camera-type eye photoreceptor fate commitment	6
GO:0060228	MF	phosphatidylcholine-sterol O-acyltransferase activator activity	4
GO:0060229	MF	lipase activator activity	4
GO:0060230	MF	lipoprotein lipase activator activity	5
GO:0060231	BP	mesenchymal to epithelial transition	7
GO:0060232	BP	delamination	6
GO:0060233	BP	oenocyte delamination	7
GO:0060234	BP	neuroblast delamination	7
GO:0060235	BP	lens induction in camera-type eye	5
GO:0060236	BP	regulation of mitotic spindle organization	5
GO:0060237	BP	regulation of fungal-type cell wall organization	4
GO:0060238	BP	regulation of signal transduction involved in conjugation with cellular fusion	4
GO:0060239	BP	positive regulation of signal transduction involved in conjugation with cellular fusion	4
GO:0060240	BP	negative regulation of signal transduction involved in conjugation with cellular fusion	4
GO:0060241	MF	lysozyme inhibitor activity	4
GO:0060242	BP	contact inhibition	3
GO:0060243	BP	negative regulation of cell growth involved in contact inhibition	4
GO:0060244	BP	negative regulation of cell proliferation involved in contact inhibition	4
GO:0060245	BP	detection of cell density	5
GO:0060246	BP	detection of cell density by contact stimulus	6
GO:0060247	BP	detection of cell density by secreted molecule	6
GO:0060248	BP	detection of cell density by contact stimulus involved in contact inhibition	4
GO:0060249	BP	anatomical structure homeostasis	5
GO:0060250	BP	germ-line stem-cell niche homeostasis	6
GO:0060251	BP	regulation of glial cell proliferation	4
GO:0060252	BP	positive regulation of glial cell proliferation	4
GO:0060253	BP	negative regulation of glial cell proliferation	4
GO:0060254	BP	regulation of N-terminal protein palmitoylation	6
GO:0060255	BP	regulation of macromolecule metabolic process	4
GO:0060256	BP	regulation of flocculation	4
GO:0060257	BP	negative regulation of flocculation	4
GO:0060258	BP	negative regulation of filamentous growth	4
GO:0060259	BP	regulation of feeding behavior	5
GO:0060260	BP	regulation of transcription initiation from RNA polymerase II promoter	6
GO:0060261	BP	positive regulation of transcription initiation from RNA polymerase II promoter	6
GO:0060262	BP	negative regulation of N-terminal protein palmitoylation	6
GO:0060263	BP	regulation of respiratory burst	4
GO:0060264	BP	regulation of respiratory burst involved in inflammatory response	4
GO:0060265	BP	positive regulation of respiratory burst involved in inflammatory response	4
GO:0060266	BP	negative regulation of respiratory burst involved in inflammatory response	4
GO:0060267	BP	positive regulation of respiratory burst	4
GO:0060268	BP	negative regulation of respiratory burst	4
GO:0060269	BP	centripetally migrating follicle cell migration	5
GO:0060270	BP	main body follicle cell migration	5
GO:0060271	BP	cilium morphogenesis	7
GO:0060272	BP	embryonic skeletal joint morphogenesis	7
GO:0060273	BP	crying behavior	4
GO:0060274	BP	maintenance of stationary phase	4
GO:0060275	BP	maintenance of stationary phase in response to starvation	5
GO:0060276	BP	maintenance of stationary phase in response to toxin	5
GO:0060277	BP	negative regulation of transcription involved in G1 phase of mitotic cell cycle	5
GO:0060278	BP	regulation of ovulation	4
GO:0060279	BP	positive regulation of ovulation	4
GO:0060280	BP	negative regulation of ovulation	4
GO:0060281	BP	regulation of oocyte development	4
GO:0060282	BP	positive regulation of oocyte development	4
GO:0060283	BP	negative regulation of oocyte development	4
GO:0060284	BP	regulation of cell development	5
GO:0060285	BP	ciliary cell motility	5
GO:0060286	BP	flagellar cell motility	5
GO:0060287	BP	epithelial cilium movement involved in determination of left/right asymmetry	6
GO:0060288	BP	formation of a compartment boundary	5
GO:0060289	BP	compartment boundary maintenance	5
GO:0060290	BP	transdifferentiation	5
GO:0060291	BP	long-term synaptic potentiation	5
GO:0060292	BP	long term synaptic depression	5
GO:0060293	CC	germ plasm	6
GO:0060294	BP	cilium movement involved in cell motility	5
GO:0060295	BP	regulation of cilium movement involved in cell motility	5
GO:0060296	BP	regulation of cilium beat frequency involved in ciliary motility	4
GO:0060297	BP	regulation of sarcomere organization	4
GO:0060298	BP	positive regulation of sarcomere organization	5
GO:0060299	BP	negative regulation of sarcomere organization	5
GO:0060300	BP	regulation of cytokine activity	7
GO:0060301	BP	positive regulation of cytokine activity	8
GO:0060302	BP	negative regulation of cytokine activity	8
GO:0060303	BP	regulation of nucleosome density	4
GO:0060304	BP	regulation of phosphatidylinositol dephosphorylation	5
GO:0060305	BP	regulation of cell diameter	6
GO:0060306	BP	regulation of membrane repolarization	7
GO:0060307	BP	regulation of ventricular cardiomyocyte membrane repolarization	8
GO:0060308	MF	GTP cyclohydrolase I regulator activity	3
GO:0060309	BP	elastin catabolic process	6
GO:0060310	BP	regulation of elastin catabolic process	5
GO:0060311	BP	negative regulation of elastin catabolic process	5
GO:0060312	BP	regulation of blood vessel remodeling	5
GO:0060313	BP	negative regulation of blood vessel remodeling	4
GO:0060314	BP	regulation of ryanodine-sensitive calcium-release channel activity	8
GO:0060315	BP	negative regulation of ryanodine-sensitive calcium-release channel activity	7
GO:0060316	BP	positive regulation of ryanodine-sensitive calcium-release channel activity	7
GO:0060317	BP	cardiac epithelial to mesenchymal transition	6
GO:0060318	BP	definitive erythrocyte differentiation	7
GO:0060319	BP	primitive erythrocyte differentiation	7
GO:0060320	BP	rejection of self pollen	5
GO:0060321	BP	acceptance of pollen	5
GO:0060322	BP	head development	4
GO:0060323	BP	head morphogenesis	4
GO:0060324	BP	face development	4
GO:0060325	BP	face morphogenesis	4
GO:0060326	BP	cell chemotaxis	5
GO:0060327	BP	cytoplasmic actin-based contraction involved in cell motility	4
GO:0060328	BP	cytoplasmic actin-based contraction involved in forward cell motility	5
GO:0060329	BP	cytoplasmic actin-based contraction involved in rearward cell motility	5
GO:0060330	BP	regulation of response to interferon-gamma	5
GO:0060331	BP	negative regulation of response to interferon-gamma	5
GO:0060332	BP	positive regulation of response to interferon-gamma	5
GO:0060333	BP	interferon-gamma-mediated signaling pathway	6
GO:0060334	BP	regulation of interferon-gamma-mediated signaling pathway	6
GO:0060335	BP	positive regulation of interferon-gamma-mediated signaling pathway	6
GO:0060336	BP	negative regulation of interferon-gamma-mediated signaling pathway	6
GO:0060337	BP	type I interferon-mediated signaling pathway	6
GO:0060338	BP	regulation of type I interferon-mediated signaling pathway	6
GO:0060339	BP	negative regulation of type I interferon-mediated signaling pathway	6
GO:0060340	BP	positive regulation of type I interferon-mediated signaling pathway	6
GO:0060341	BP	regulation of cellular localization	4
GO:0060342	CC	photoreceptor inner segment membrane	3
GO:0060343	BP	trabecula formation	4
GO:0060344	BP	liver trabecula formation	5
GO:0060345	BP	spleen trabecula formation	5
GO:0060346	BP	bone trabecula formation	5
GO:0060347	BP	heart trabecula formation	5
GO:0060348	BP	bone development	4
GO:0060349	BP	bone morphogenesis	4
GO:0060350	BP	endochondral bone morphogenesis	5
GO:0060351	BP	cartilage development involved in endochondral bone morphogenesis	6
GO:0060352	BP	cell adhesion molecule production	3
GO:0060353	BP	regulation of cell adhesion molecule production	4
GO:0060354	BP	negative regulation of cell adhesion molecule production	4
GO:0060355	BP	positive regulation of cell adhesion molecule production	4
GO:0060356	BP	leucine import	8
GO:0060357	BP	regulation of leucine import	8
GO:0060358	BP	negative regulation of leucine import	6
GO:0060359	BP	response to ammonium ion	5
GO:0060360	BP	negative regulation of leucine import in response to ammonium ion	7
GO:0060361	BP	flight	3
GO:0060362	BP	flight involved in flight behavior	4
GO:0060363	BP	cranial suture morphogenesis	5
GO:0060364	BP	frontal suture morphogenesis	6
GO:0060365	BP	coronal suture morphogenesis	6
GO:0060366	BP	lambdoid suture morphogenesis	6
GO:0060367	BP	sagittal suture morphogenesis	6
GO:0060368	BP	regulation of Fc receptor mediated stimulatory signaling pathway	4
GO:0060369	BP	positive regulation of Fc receptor mediated stimulatory signaling pathway	4
GO:0060370	BP	susceptibility to T cell mediated cytotoxicity	6
GO:0060371	BP	regulation of atrial cardiomyocyte membrane depolarization	5
GO:0060372	BP	regulation of atrial cardiomyocyte membrane repolarization	8
GO:0060373	BP	regulation of ventricular cardiomyocyte membrane depolarization	5
GO:0060374	BP	mast cell differentiation	7
GO:0060375	BP	regulation of mast cell differentiation	6
GO:0060376	BP	positive regulation of mast cell differentiation	7
GO:0060377	BP	negative regulation of mast cell differentiation	7
GO:0060378	BP	regulation of brood size	4
GO:0060379	BP	cardiac muscle cell myoblast differentiation	7
GO:0060380	BP	regulation of single-stranded telomeric DNA binding	6
GO:0060381	BP	positive regulation of single-stranded telomeric DNA binding	7
GO:0060382	BP	regulation of DNA strand elongation	6
GO:0060383	BP	positive regulation of DNA strand elongation	6
GO:0060384	BP	innervation	3
GO:0060385	BP	axonogenesis involved in innervation	4
GO:0060386	BP	synapse assembly involved in innervation	4
GO:0060387	CC	fertilization envelope	5
GO:0060388	CC	vitelline envelope	5
GO:0060389	BP	pathway-restricted SMAD protein phosphorylation	7
GO:0060390	BP	regulation of SMAD protein import into nucleus	6
GO:0060391	BP	positive regulation of SMAD protein import into nucleus	6
GO:0060392	BP	negative regulation of SMAD protein import into nucleus	6
GO:0060393	BP	regulation of pathway-restricted SMAD protein phosphorylation	6
GO:0060394	BP	negative regulation of pathway-restricted SMAD protein phosphorylation	6
GO:0060395	BP	SMAD protein signal transduction	4
GO:0060396	BP	growth hormone receptor signaling pathway	7
GO:0060397	BP	JAK-STAT cascade involved in growth hormone signaling pathway	7
GO:0060398	BP	regulation of growth hormone receptor signaling pathway	5
GO:0060399	BP	positive regulation of growth hormone receptor signaling pathway	5
GO:0060400	BP	negative regulation of growth hormone receptor signaling pathway	5
GO:0060401	BP	cytosolic calcium ion transport	9
GO:0060402	BP	calcium ion transport into cytosol	10
GO:0060403	BP	post-mating oviposition	5
GO:0060404	BP	axonemal microtubule depolymerization	7
GO:0060405	BP	regulation of penile erection	4
GO:0060406	BP	positive regulation of penile erection	4
GO:0060407	BP	negative regulation of penile erection	4
GO:0060408	BP	regulation of acetylcholine metabolic process	5
GO:0060409	BP	positive regulation of acetylcholine metabolic process	6
GO:0060410	BP	negative regulation of acetylcholine metabolic process	6
GO:0060411	BP	cardiac septum morphogenesis	4
GO:0060412	BP	ventricular septum morphogenesis	5
GO:0060413	BP	atrial septum morphogenesis	5
GO:0060414	BP	aorta smooth muscle tissue morphogenesis	6
GO:0060415	BP	muscle tissue morphogenesis	5
GO:0060416	BP	response to growth hormone stimulus	6
GO:0060417	CC	yolk	5
GO:0060418	CC	yolk plasma	5
GO:0060419	BP	heart growth	4
GO:0060420	BP	regulation of heart growth	5
GO:0060421	BP	positive regulation of heart growth	5
GO:0060422	MF	peptidyl-dipeptidase inhibitor activity	5
GO:0060423	BP	foregut regionalization	6
GO:0060424	BP	lung field specification	6
GO:0060425	BP	lung morphogenesis	5
GO:0060426	BP	lung vasculature development	6
GO:0060427	BP	lung connective tissue development	5
GO:0060428	BP	lung epithelium development	6
GO:0060429	BP	epithelium development	5
GO:0060430	BP	lung saccule development	4
GO:0060431	BP	primary lung bud formation	5
GO:0060432	BP	lung pattern specification process	4
GO:0060433	BP	bronchus development	5
GO:0060434	BP	bronchus morphogenesis	5
GO:0060435	BP	bronchiole development	4
GO:0060436	BP	bronchiole morphogenesis	4
GO:0060437	BP	lung growth	4
GO:0060438	BP	trachea development	5
GO:0060439	BP	trachea morphogenesis	5
GO:0060440	BP	trachea formation	5
GO:0060441	BP	epithelial tube branching involved in lung morphogenesis	5
GO:0060442	BP	branching involved in prostate gland morphogenesis	5
GO:0060443	BP	mammary gland morphogenesis	5
GO:0060444	BP	branching involved in mammary gland duct morphogenesis	5
GO:0060445	BP	branching involved in salivary gland morphogenesis	5
GO:0060446	BP	branching involved in open tracheal system development	5
GO:0060447	BP	bud outgrowth involved in lung branching	6
GO:0060448	BP	dichotomous subdivision of terminal units involved in lung branching	6
GO:0060449	BP	bud elongation involved in lung branching	6
GO:0060450	BP	positive regulation of hindgut contraction	5
GO:0060451	BP	negative regulation of hindgut contraction	5
GO:0060452	BP	positive regulation of cardiac muscle contraction	6
GO:0060453	BP	regulation of gastric acid secretion	6
GO:0060454	BP	positive regulation of gastric acid secretion	5
GO:0060455	BP	negative regulation of gastric acid secretion	5
GO:0060456	BP	positive regulation of digestive system process	4
GO:0060457	BP	negative regulation of digestive system process	4
GO:0060458	BP	right lung development	6
GO:0060459	BP	left lung development	6
GO:0060460	BP	left lung morphogenesis	6
GO:0060461	BP	right lung morphogenesis	6
GO:0060462	BP	lung lobe development	4
GO:0060463	BP	lung lobe morphogenesis	4
GO:0060464	BP	lung lobe formation	4
GO:0060465	BP	pharynx development	4
GO:0060466	BP	activation of meiosis involved in egg activation	5
GO:0060467	BP	negative regulation of fertilization	4
GO:0060468	BP	prevention of polyspermy	5
GO:0060469	BP	positive regulation of transcription involved in egg activation	5
GO:0060470	BP	elevation of cytosolic calcium ion concentration involved in egg activation	4
GO:0060471	BP	cortical granule exocytosis	4
GO:0060472	BP	positive regulation of cortical granule exocytosis by elevation of cytosolic calcium ion concentration	4
GO:0060473	CC	cortical granule	7
GO:0060474	BP	positive regulation of sperm motility involved in capacitation	5
GO:0060475	BP	positive regulation of actin filament polymerization involved in acrosome reaction	5
GO:0060476	BP	protein localization involved in acrosome reaction	4
GO:0060477	BP	peptidyl-serine phosphorylation involved in acrosome reaction	4
GO:0060478	BP	acrosomal vesicle exocytosis	4
GO:0060479	BP	lung cell differentiation	5
GO:0060480	BP	lung goblet cell differentiation	7
GO:0060481	BP	lobar bronchus epithelium development	7
GO:0060482	BP	lobar bronchus development	6
GO:0060483	BP	lobar bronchus mesenchyme development	7
GO:0060484	BP	lung-associated mesenchyme development	6
GO:0060485	BP	mesenchyme development	5
GO:0060486	BP	Clara cell differentiation	7
GO:0060487	BP	lung epithelial cell differentiation	6
GO:0060488	BP	orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis	7
GO:0060489	BP	planar dichotomous subdivision of terminal units involved in lung branching morphogenesis	7
GO:0060490	BP	lateral sprouting involved in lung morphogenesis	6
GO:0060491	BP	regulation of cell projection assembly	4
GO:0060492	BP	lung induction	5
GO:0060493	BP	mesenchymal-endodermal cell signaling involved in lung induction	6
GO:0060494	BP	inductive mesenchymal-endodermal cell signaling	7
GO:0060495	BP	cell-cell signaling involved in lung development	4
GO:0060496	BP	mesenchymal-epithelial cell signaling involved in lung development	5
GO:0060497	BP	mesenchymal-endodermal cell signaling	5
GO:0060498	BP	retinoic acid receptor signaling pathway involved in lung bud formation	6
GO:0060499	BP	fibroblast growth factor receptor signaling pathway involved in lung induction	6
GO:0060500	BP	regulation of transcription from RNA polymerase II promoter involved in lung bud formation	6
GO:0060501	BP	positive regulation of epithelial cell proliferation involved in lung morphogenesis	4
GO:0060502	BP	epithelial cell proliferation involved in lung morphogenesis	4
GO:0060503	BP	bud dilation involved in lung branching	6
GO:0060504	BP	positive regulation of epithelial cell proliferation involved in lung bud dilation	5
GO:0060505	BP	epithelial cell proliferation involved in lung bud dilation	5
GO:0060506	BP	smoothened signaling pathway involved in lung development	5
GO:0060507	BP	epidermal growth factor receptor signaling pathway involved in lung development	5
GO:0060508	BP	lung basal cell differentiation	6
GO:0060509	BP	Type I pneumocyte differentiation	7
GO:0060510	BP	Type II pneumocyte differentiation	7
GO:0060511	BP	creation of an inductive signal by a mesenchymal cell involved in lung induction	5
GO:0060512	BP	prostate gland morphogenesis	4
GO:0060513	BP	prostatic bud formation	5
GO:0060514	BP	prostate induction	4
GO:0060515	BP	prostate field specification	4
GO:0060516	BP	primary prostatic bud elongation	5
GO:0060517	BP	epithelial cell proliferation involved in prostatic bud elongation	5
GO:0060518	BP	cell migration involved in prostatic bud elongation	4
GO:0060519	BP	cell adhesion involved in prostatic bud elongation	4
GO:0060520	BP	activation of prostate induction by androgen receptor signaling pathway	4
GO:0060521	BP	mesenchymal-epithelial cell signaling involved in prostate induction	5
GO:0060522	BP	inductive mesenchymal to epithelial cell signaling	7
GO:0060523	BP	prostate epithelial cord elongation	5
GO:0060524	BP	dichotomous subdivision of prostate epithelial cord terminal unit	4
GO:0060525	BP	prostate glandular acinus development	4
GO:0060526	BP	prostate glandular acinus morphogenesis	5
GO:0060527	BP	prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis	6
GO:0060528	BP	secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development	5
GO:0060529	BP	squamous basal epithelial stem cell differentiation involved in prostate gland acinus development	5
GO:0060530	BP	smooth muscle cell differentiation involved in prostate glandular acinus development	4
GO:0060531	BP	neuroendocrine cell differentiation involved in prostate gland acinus development	4
GO:0060532	BP	bronchus cartilage development	6
GO:0060533	BP	bronchus cartilage morphogenesis	6
GO:0060534	BP	trachea cartilage development	6
GO:0060535	BP	trachea cartilage morphogenesis	6
GO:0060536	BP	cartilage morphogenesis	5
GO:0060537	BP	muscle tissue development	5
GO:0060538	BP	skeletal muscle organ development	6
GO:0060539	BP	diaphragm development	6
GO:0060540	BP	diaphragm morphogenesis	6
GO:0060541	BP	respiratory system development	5
GO:0060542	BP	regulation of strand invasion	7
GO:0060543	BP	negative regulation of strand invasion	7
GO:0060544	BP	regulation of necroptosis	6
GO:0060545	BP	positive regulation of necroptosis	6
GO:0060546	BP	negative regulation of necroptosis	6
GO:0060547	BP	negative regulation of necrotic cell death	5
GO:0060548	BP	negative regulation of cell death	4
GO:0060549	BP	regulation of fructose 1,6-bisphosphate 1-phosphatase activity	8
GO:0060550	BP	positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity	8
GO:0060551	BP	regulation of fructose 1,6-bisphosphate metabolic process	6
GO:0060552	BP	positive regulation of fructose 1,6-bisphosphate metabolic process	6
GO:0060553	BP	induction of necroptosis	7
GO:0060554	BP	induction of necroptosis of activated-T cells	8
GO:0060555	BP	induction of necroptosis by extracellular signals	8
GO:0060556	BP	regulation of vitamin D biosynthetic process	5
GO:0060557	BP	positive regulation of vitamin D biosynthetic process	5
GO:0060558	BP	regulation of calcidiol 1-monooxygenase activity	7
GO:0060559	BP	positive regulation of calcidiol 1-monooxygenase activity	8
GO:0060560	BP	developmental growth involved in morphogenesis	4
GO:0060561	BP	apoptosis involved in morphogenesis	4
GO:0060562	BP	epithelial tube morphogenesis	5
GO:0060563	BP	neuroepithelial cell differentiation	5
GO:0060564	BP	negative regulation of mitotic anaphase-promoting complex activity	6
GO:0060565	BP	inhibition of mitotic anaphase-promoting complex activity	7
GO:0060566	BP	positive regulation of transcription termination, DNA-dependent	5
GO:0060567	BP	negative regulation of transcription termination, DNA-dependent	5
GO:0060568	BP	regulation of peptide hormone processing	5
GO:0060569	BP	positive regulation of peptide hormone processing	5
GO:0060570	BP	negative regulation of peptide hormone processing	5
GO:0060571	BP	morphogenesis of an epithelial fold	6
GO:0060572	BP	morphogenesis of an epithelial bud	7
GO:0060573	BP	cell fate specification involved in pattern specification	5
GO:0060574	BP	intestinal epithelial cell maturation	7
GO:0060575	BP	intestinal epithelial cell differentiation	5
GO:0060576	BP	intestinal epithelial cell development	6
GO:0060577	BP	pulmonary vein morphogenesis	6
GO:0060578	BP	superior vena cava morphogenesis	6
GO:0060579	BP	ventral spinal cord interneuron fate commitment	6
GO:0060580	BP	ventral spinal cord interneuron fate determination	6
GO:0060581	BP	cell fate commitment involved in pattern specification	4
GO:0060582	BP	cell fate determination involved in pattern specification	5
GO:0060583	BP	regulation of actin cortical patch localization	5
GO:0060584	BP	regulation of prostaglandin-endoperoxide synthase activity	6
GO:0060585	BP	positive regulation of prostaglandin-endoperoxide synthase activity	7
GO:0060586	BP	multicellular organismal iron ion homeostasis	4
GO:0060587	BP	regulation of lipoprotein lipid oxidation	6
GO:0060588	BP	negative regulation of lipoprotein lipid oxidation	5
GO:0060589	MF	nucleoside-triphosphatase regulator activity	3
GO:0060590	MF	ATPase regulator activity	4
GO:0060591	BP	chondroblast differentiation	5
GO:0060592	BP	mammary gland formation	4
GO:0060593	BP	Wnt receptor signaling pathway involved in mammary gland specification	6
GO:0060594	BP	mammary gland specification	5
GO:0060595	BP	fibroblast growth factor receptor signaling pathway involved in mammary gland specification	6
GO:0060596	BP	mammary placode formation	5
GO:0060597	BP	regulation of transcription from RNA polymerase II promoter involved in mammary gland formation	5
GO:0060598	BP	dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis	6
GO:0060599	BP	lateral sprouting involved in mammary gland duct morphogenesis	6
GO:0060600	BP	dichotomous subdivision of an epithelial terminal unit	5
GO:0060601	BP	lateral sprouting from an epithelium	5
GO:0060602	BP	branch elongation of an epithelium	5
GO:0060603	BP	mammary gland duct morphogenesis	6
GO:0060604	BP	mammary gland duct cavitation	6
GO:0060605	BP	tube lumen cavitation	5
GO:0060606	BP	tube closure	5
GO:0060607	BP	cell-cell adhesion involved in sealing an epithelial fold	5
GO:0060608	BP	cell-cell adhesion involved in neural tube closure	6
GO:0060609	BP	apoptosis involved in tube lumen cavitation	5
GO:0060610	BP	mesenchymal cell differentiation involved in mammary gland development	6
GO:0060611	BP	mammary gland fat development	6
GO:0060612	BP	adipose tissue development	5
GO:0060613	BP	fat pad development	6
GO:0060614	BP	negative regulation of mammary gland development in males by androgen receptor signaling pathway	4
GO:0060615	BP	mammary gland bud formation	4
GO:0060616	BP	mammary gland cord formation	6
GO:0060617	BP	positive regulation of mammary placode formation by mesenchymal-epithelial signaling	4
GO:0060618	BP	nipple development	4
GO:0060619	BP	cell migration involved in mammary placode formation	6
GO:0060620	BP	regulation of cholesterol import	6
GO:0060621	BP	negative regulation of cholesterol import	6
GO:0060622	BP	regulation of ascospore wall beta-glucan biosynthetic process	6
GO:0060623	BP	regulation of chromosome condensation	6
